timestamp,source_ip,type,bytes,packet_number
2025-07-10T10:48:06.364Z,141.23.28.210,·······A····,1514,1
2025-07-10T10:48:06.364Z,141.23.28.210,·······AP···,1114,2
2025-07-10T10:48:06.366Z,141.23.28.212,·······A····,66,3
2025-07-10T10:48:06.369Z,141.23.28.212,·······AP···,118,4
2025-07-10T10:48:06.369Z,141.23.28.210,·······A····,66,5
2025-07-10T10:48:06.369Z,141.23.28.210,·······AP···,105,6
2025-07-10T10:48:06.381Z,141.23.28.212,·······AP···,124,7
2025-07-10T10:48:06.381Z,141.23.28.210,·······A····,66,8
2025-07-10T10:48:06.381Z,141.23.28.210,·······AP···,118,9
2025-07-10T10:48:06.382Z,141.23.28.212,·······AP···,105,10
2025-07-10T10:48:06.382Z,141.23.28.210,·······A····,66,11
2025-07-10T10:48:07.351Z,141.23.28.210,·······A····,1514,12
2025-07-10T10:48:07.351Z,141.23.28.210,·······AP···,1512,13
2025-07-10T10:48:07.353Z,141.23.28.212,·······A····,66,14
2025-07-10T10:48:07.356Z,141.23.28.212,·······AP···,118,15
2025-07-10T10:48:07.356Z,141.23.28.210,·······A····,66,16
2025-07-10T10:48:07.356Z,141.23.28.210,·······AP···,105,17
2025-07-10T10:48:07.368Z,141.23.28.212,·······AP···,124,18
2025-07-10T10:48:07.369Z,141.23.28.210,·······A····,66,19
2025-07-10T10:48:07.369Z,141.23.28.210,·······AP···,118,20
2025-07-10T10:48:07.370Z,141.23.28.212,·······AP···,105,21
2025-07-10T10:48:07.370Z,141.23.28.210,·······A····,66,22
2025-07-10T10:48:08.933Z,141.23.28.210,·······A····,1514,23
2025-07-10T10:48:08.933Z,141.23.28.210,·······A····,1514,24
2025-07-10T10:48:08.933Z,141.23.28.210,·······AP···,692,25
2025-07-10T10:48:08.935Z,141.23.28.212,·······A····,66,26
2025-07-10T10:48:08.938Z,141.23.28.212,·······AP···,118,27
2025-07-10T10:48:08.939Z,141.23.28.210,·······A····,66,28
2025-07-10T10:48:08.939Z,141.23.28.210,·······AP···,105,29
2025-07-10T10:48:08.952Z,141.23.28.212,·······AP···,124,30
2025-07-10T10:48:08.953Z,141.23.28.210,·······A····,66,31
2025-07-10T10:48:08.953Z,141.23.28.210,·······AP···,118,32
2025-07-10T10:48:08.953Z,141.23.28.212,·······AP···,105,33
2025-07-10T10:48:08.954Z,141.23.28.210,·······A····,66,34
2025-07-10T10:48:10.358Z,141.23.28.210,·······A····,1514,35
2025-07-10T10:48:10.358Z,141.23.28.210,·······A····,1514,36
2025-07-10T10:48:10.358Z,141.23.28.210,·······AP···,1213,37
2025-07-10T10:48:10.361Z,141.23.28.212,·······A····,66,38
2025-07-10T10:48:10.365Z,141.23.28.212,·······AP···,118,39
2025-07-10T10:48:10.365Z,141.23.28.210,·······A····,66,40
2025-07-10T10:48:10.365Z,141.23.28.210,·······AP···,105,41
2025-07-10T10:48:10.374Z,141.23.28.212,·······AP···,124,42
2025-07-10T10:48:10.374Z,141.23.28.210,·······A····,66,43
2025-07-10T10:48:10.374Z,141.23.28.210,·······AP···,118,44
2025-07-10T10:48:10.375Z,141.23.28.212,·······AP···,105,45
2025-07-10T10:48:10.375Z,141.23.28.210,·······A····,66,46
